Column_name,Data Type,Allow Nulls
Peca_ID,int,no
Fabricante_ID,int,no
Produto_ID,int,no
Class_Fiscal_ID,smallint,no
Comissao_ID,int,yes
Enum_Setor_ID,int,yes
Enum_Tipo_Embalagem_ID,int,yes
Peca_CD,char,no
Peca_CDFabricante,varchar,yes
Peca_DSTecnica,varchar,no
Peca_Margem_Lucro,numeric,no
Peca_ICMS_Compra,numeric,no
Peca_ICMS_Substituicao_Tributaria,numeric,yes
Peca_Perc_IPI,numeric,yes
Peca_TVA,numeric,yes
Peca_Substituicao_Tributaria,bit,no
Peca_Codigo_Situacao_Tributaria,varchar,yes
Peca_QtMinimaVenda,smallint,no
Peca_Qtde_Multipla,numeric,no
Peca_Dias_Estoque_Seguranca,numeric,yes
Peca_Dias_Estoque_Maximo,numeric,yes
Peca_Qtde_Estoque_Minimo,numeric,yes
Peca_Validade_Meses,int,yes
Peca_Emite_Cupom,bit,no
Peca_Linha,bit,no
Peca_Comprar,bit,yes
Peca_Motivo_Nao_Comprar,varchar,yes
Peca_Data_Inicial,datetime,yes
Peca_Data_Final,datetime,yes
Peca_Data_Cadastro,datetime,yes
Peca_Data_Desativacao,datetime,yes
Peca_IsNovidade,bit,no
Peca_IsVisualiza,bit,no
Peca_IsUniversal,bit,no
Peca_IsAtivo,bit,no
Peca_DSEtiqueta,varchar,yes
Peca_Lido_Interface,bit,yes
Peca_Curva_Rentabilidade,varchar,yes
Peca_Curva_Frequencia,varchar,yes
Peca_Curva_Mista,varchar,yes
Usuario_Ultima_Alteracao_ID,int,yes
Usuario_Transacao,varchar,yes
Peca_Qtde_Multipla_Compra,int,yes
Data_Verificacao_Concorrencia,timestamp,yes
Peca_Pendencia_Lote_Reajuste,bit,no
Peca_Pendencia_Definicao_Estoque,bit,no
Peca_Pendencia_Garantia,bit,no
Peca_Pendencia_Fiscal,bit,no
Peca_Pendencia_Caracteristicas,bit,no
Peca_Pendencia_Veiculo,bit,no
Peca_Data_Lote_Reajuste,datetime,yes
Peca_Data_Definicao_Estoque,datetime,yes
Peca_Data_Garantia,datetime,yes
Peca_Data_Fiscal,datetime,yes
Peca_Data_Caracteristicas,datetime,yes
Peca_Data_Veiculo,datetime,yes
Peca_Sem_Caracteristica,bit,no
Peca_Estoque_Totalmente_Lojas,bit,no
Peca_Recomendacao_Tempo,int,no
Peca_Recomendacao_Kilometro,int,no
Enum_Unidade_Tempo_ID,int,yes
Peca_Pendencia_Servico,bit,yes
Peca_Data_Servico,datetime,yes
Peca_TemServico,char,yes
Peca_Origem_Mercadoria,int,yes
Peca_Descricao_Web,varchar,yes
Peca_Garantia_Tempo,int,no
Enum_Unidade_Tempo_Garantia_ID,int,yes
Peca_Especificacoes_HTML,text,yes
Peca_Venda_Media_Total,decimal,yes
Usuario_Cadastro_ID,int,yes
Peca_Pendencia_Validada_Ecommerce,bit,yes
Peca_Frete_Gratis,bit,yes
Peca_Destaque_Sessao,bit,yes
Peca_Lancamento,bit,yes
Peca_Data_Validada_Ecommerce,datetime,yes
Peca_Pendencia_Codigo_Barras,bit,yes
Peca_Data_Codigo_Barras,datetime,yes
Peca_Pendencia_Pesos_Medidas,bit,yes
Peca_Data_Pesos_Medidas,datetime,yes
Peca_Pendencia_Especificacao_Tecnica,bit,yes
Peca_Data_Especificacao_Tecnica,datetime,yes
Peca_Pendencia_Foto_Principal,bit,yes
Peca_Data_Foto_Principal,datetime,yes
Peca_Pendencia_Procedimento_Troca,bit,yes
Peca_Data_Procedimento_Troca,datetime,yes
Peca_Informacao_Cliente,varchar,yes
Peca_Validada,bit,no
Peca_Gerar_Etiqueta_Automatica_Recebimento,bit,yes
Peca_Ativa_Ecommerce,bit,no
Cest_ID,int,yes
Peca_KIT_Compra_CT_ID,int,yes
Peca_Garantia_KM,int,yes
Peca_Indice_Trocas,numeric,yes
Peca_Tem_Foto,bit,yes
